user_id,city,coarse_lat,coarse_lng,phone,category_opt_ins,preferred_channel,reliability_score,price_sensitivity_threshold_pct,response_latency_minutes_avg
USR-00057,Pune,18.605,73.818,+918562849756,Meat & Seafood|Food Grains|Oil & Masala,SMS,0.99,48,17
USR-00058,Pune,18.509,73.848,+918310951888,Meat & Seafood|Ready-to-Eat|Beverages,reply-YES,0.96,10,45
USR-00059,Pune,18.567,73.788,+918728397830,Ready-to-Eat,WhatsApp,0.8,33,42
USR-00060,Pune,18.554,73.848,+918607456256,Dairy|Food Grains|Bakery|Meat & Seafood,reply-YES,0.55,50,34
USR-00061,Bengaluru,13.098,77.624,+918875098020,Snacks|Fruits & Veggies|Dairy|Meat & Seafood,reply-YES,0.7,13,31
USR-00062,Bengaluru,12.924,77.472,+917906484773,Dairy|Fruits & Veggies,WhatsApp,0.65,59,19
USR-00063,Mumbai,19.095,72.817,+919319718901,Fruits & Veggies,SMS,0.53,58,27
USR-00064,Bengaluru,13.139,77.542,+917916942616,Oil & Masala|Beverages|Food Grains|Dairy,WhatsApp,1.0,54,38
USR-00065,Chennai,13.192,80.306,+918275652083,Food Grains,SMS,0.51,14,26
USR-00066,Mumbai,18.945,72.804,+917215290074,Oil & Masala,reply-YES,0.94,54,19
USR-00067,Chennai,13.227,80.259,+916860428316,Fruits & Veggies|Food Grains|Bakery|Ready-to-Eat,reply-YES,0.69,26,19
USR-00068,Bengaluru,13.045,77.642,+916060606737,Ready-to-Eat|Fruits & Veggies|Dairy|Meat & Seafood,SMS,0.56,12,5
USR-00069,Bengaluru,13.067,77.753,+917908479801,Meat & Seafood,WhatsApp,0.53,59,27
USR-00070,Bengaluru,13.036,77.606,+919658575790,Food Grains|Oil & Masala,reply-YES,0.81,30,42
USR-00071,Pune,18.63,73.955,+918791099993,Ready-to-Eat|Beverages|Meat & Seafood|Snacks,WhatsApp,0.93,20,15
USR-00072,Mumbai,19.017,72.794,+916453343049,Dairy|Meat & Seafood,SMS,0.92,11,11
USR-00073,Bengaluru,13.124,77.505,+919554753964,Oil & Masala,SMS,0.61,31,7
USR-00074,Mumbai,18.996,72.934,+919230358217,Oil & Masala|Food Grains,SMS,0.84,44,5
USR-00075,Pune,18.412,73.95,+918808861125,Beverages,SMS,0.65,13,27
USR-00076,Bengaluru,12.874,77.519,+919721127168,Dairy,SMS,0.78,52,31
USR-00077,Bengaluru,13.026,77.649,+919352152673,Bakery|Ready-to-Eat|Dairy|Food Grains,WhatsApp,0.88,44,28
USR-00078,Pune,18.524,73.863,+919464147359,Oil & Masala|Snacks|Bakery,WhatsApp,0.82,21,23
USR-00079,Chennai,12.974,80.343,+918776899773,Bakery|Oil & Masala|Snacks,SMS,0.95,24,12
USR-00080,Pune,18.584,73.833,+917701409507,Snacks,SMS,0.82,49,41
USR-00081,Bengaluru,12.955,77.508,+917230477259,Bakery|Ready-to-Eat|Fruits & Veggies|Snacks,reply-YES,0.98,55,24
USR-00082,Pune,18.455,73.969,+917384162906,Ready-to-Eat|Bakery,reply-YES,0.66,56,28
USR-00083,Bengaluru,12.98,77.688,+916309805183,Food Grains|Beverages|Oil & Masala,WhatsApp,0.78,25,22
USR-00084,Bengaluru,12.958,77.504,+916877934724,Bakery|Oil & Masala|Food Grains,SMS,0.69,44,33
USR-00085,Pune,18.62,73.755,+918309647429,Fruits & Veggies|Oil & Masala,reply-YES,0.76,29,35
USR-00086,Bengaluru,12.893,77.583,+916929516289,Ready-to-Eat,WhatsApp,0.66,43,11
USR-00087,Bengaluru,13.125,77.496,+917773312581,Ready-to-Eat|Meat & Seafood,WhatsApp,0.7,24,19
USR-00088,Mumbai,18.989,72.939,+918197447652,Beverages|Oil & Masala,WhatsApp,0.92,43,23
USR-00089,Mumbai,19.045,72.894,+919921751713,Fruits & Veggies|Beverages|Ready-to-Eat,WhatsApp,0.63,11,42
USR-00090,Bengaluru,12.926,77.73,+916057458076,Beverages|Meat & Seafood|Ready-to-Eat|Fruits & Veggies,reply-YES,0.56,52,17
USR-00091,Mumbai,19.199,72.955,+917760783359,Ready-to-Eat|Fruits & Veggies|Snacks,SMS,0.96,26,25
USR-00092,Chennai,13.153,80.317,+918881603534,Meat & Seafood,WhatsApp,0.71,29,28
USR-00093,Mumbai,19.063,72.725,+918119101473,Fruits & Veggies,reply-YES,0.91,51,17
USR-00094,Bengaluru,13.019,77.607,+918480127712,Meat & Seafood|Bakery|Fruits & Veggies|Food Grains,WhatsApp,0.82,22,40
USR-00095,Mumbai,18.97,72.932,+916744794080,Dairy|Fruits & Veggies,reply-YES,0.58,12,27
USR-00096,Bengaluru,12.973,77.539,+916996584029,Meat & Seafood|Oil & Masala,SMS,0.63,36,42
USR-00097,Bengaluru,12.883,77.629,+919280238656,Oil & Masala|Dairy,reply-YES,0.99,10,25
USR-00098,Pune,18.415,73.876,+916188800300,Food Grains|Meat & Seafood|Beverages,WhatsApp,0.58,43,32
USR-00099,Pune,18.577,73.93,+917203071081,Fruits & Veggies|Ready-to-Eat|Bakery|Snacks,WhatsApp,0.8,51,27
USR-00100,Chennai,13.079,80.287,+916541519807,Fruits & Veggies,SMS,0.73,49,44
USR-00101,Chennai,13.111,80.267,+918286358349,Oil & Masala|Food Grains,reply-YES,0.78,44,33
USR-00102,Pune,18.616,73.891,+918955910923,Snacks|Ready-to-Eat,reply-YES,0.92,32,31
USR-00103,Chennai,13.062,80.219,+917463891619,Snacks,reply-YES,0.66,41,25
USR-00104,Chennai,13.245,80.455,+916296149909,Bakery|Oil & Masala|Food Grains,reply-YES,0.78,52,12
USR-00105,Pune,18.426,73.776,+916279891454,Bakery,reply-YES,0.78,17,32
USR-00106,Pune,18.442,73.796,+917845848749,Dairy|Ready-to-Eat|Beverages,WhatsApp,0.93,21,37
USR-00107,Pune,18.451,73.726,+919580720080,Meat & Seafood|Dairy|Ready-to-Eat,WhatsApp,0.78,28,15
USR-00108,Pune,18.589,73.864,+918752925556,Ready-to-Eat,reply-YES,0.63,56,2
USR-00109,Mumbai,18.965,73.015,+916581236242,Beverages|Meat & Seafood|Snacks,SMS,0.52,32,9
USR-00110,Pune,18.457,73.981,+916672446095,Meat & Seafood|Fruits & Veggies|Oil & Masala|Ready-to-Eat,WhatsApp,0.77,28,31
USR-00111,Bengaluru,13.151,77.472,+917083572890,Dairy,reply-YES,0.52,36,17
USR-00112,Bengaluru,13.103,77.549,+919418042022,Dairy|Snacks,reply-YES,0.89,40,24
USR-00113,Bengaluru,12.899,77.638,+917368287657,Snacks|Ready-to-Eat|Bakery,WhatsApp,0.67,45,22
USR-00114,Bengaluru,12.881,77.558,+918066487826,Ready-to-Eat|Meat & Seafood|Dairy,SMS,0.61,13,13
USR-00115,Bengaluru,13.065,77.675,+918464533479,Fruits & Veggies|Beverages|Snacks,reply-YES,0.81,28,20
USR-00116,Bengaluru,13.16,77.476,+916414505633,Dairy|Oil & Masala|Beverages|Fruits & Veggies,SMS,0.82,43,8
USR-00117,Pune,18.522,73.754,+919138759559,Fruits & Veggies|Ready-to-Eat|Beverages,SMS,0.76,52,14
USR-00118,Chennai,13.225,80.178,+917419977118,Bakery,WhatsApp,0.86,38,31
USR-00119,Bengaluru,13.091,77.528,+917604890985,Meat & Seafood|Bakery,SMS,1.0,53,28
USR-00120,Pune,18.557,73.856,+918749347688,Ready-to-Eat|Oil & Masala,reply-YES,0.54,57,7
USR-00121,Pune,18.539,73.818,+919764580843,Oil & Masala,SMS,0.82,56,6
USR-00122,Pune,18.571,73.746,+919900531260,Snacks|Meat & Seafood|Fruits & Veggies,reply-YES,0.53,44,21
USR-00123,Bengaluru,12.909,77.508,+918876955912,Ready-to-Eat|Bakery|Meat & Seafood|Dairy,SMS,0.75,38,15
USR-00124,Mumbai,19.034,72.774,+917594123459,Food Grains|Fruits & Veggies,reply-YES,0.91,43,5
USR-00125,Pune,18.541,73.828,+917455711627,Food Grains|Snacks|Dairy,WhatsApp,0.96,48,10
USR-00126,Pune,18.476,73.982,+919327023174,Fruits & Veggies,SMS,0.76,12,26
USR-00127,Mumbai,19.121,72.887,+919634433460,Oil & Masala|Food Grains,WhatsApp,0.62,35,19
USR-00128,Mumbai,19.143,72.91,+919298702521,Bakery|Beverages|Snacks,reply-YES,0.82,24,24
USR-00129,Mumbai,19.136,72.913,+919236850448,Fruits & Veggies|Oil & Masala|Dairy,SMS,0.82,56,17
USR-00130,Bengaluru,12.899,77.65,+918722405530,Bakery|Ready-to-Eat|Meat & Seafood|Beverages,WhatsApp,0.51,33,43
USR-00131,Pune,18.509,73.956,+917752340870,Oil & Masala|Food Grains|Bakery,WhatsApp,0.67,35,17
USR-00132,Pune,18.457,73.881,+918981828439,Beverages|Oil & Masala|Ready-to-Eat|Meat & Seafood,WhatsApp,0.52,55,25
USR-00133,Bengaluru,13.094,77.571,+917380792660,Dairy|Beverages|Fruits & Veggies,WhatsApp,0.73,11,8
USR-00134,Bengaluru,13.082,77.695,+918056655899,Oil & Masala,WhatsApp,0.66,47,33
USR-00135,Pune,18.521,73.756,+917232420430,Oil & Masala,SMS,0.62,46,8
USR-00136,Mumbai,19.222,72.865,+919971363591,Beverages,SMS,0.99,13,11
USR-00137,Pune,18.615,73.995,+919122328614,Fruits & Veggies,WhatsApp,0.82,29,10
USR-00138,Chennai,12.975,80.294,+918922430232,Dairy,SMS,0.51,18,30
USR-00139,Pune,18.48,73.867,+917824350979,Food Grains,SMS,0.67,48,22
USR-00140,Bengaluru,12.927,77.748,+916762948467,Beverages|Dairy|Oil & Masala|Ready-to-Eat,reply-YES,0.88,39,31
USR-00141,Pune,18.401,73.759,+918361408307,Dairy,SMS,0.7,34,5
USR-00142,Chennai,13.028,80.19,+919315672617,Oil & Masala|Fruits & Veggies,WhatsApp,0.79,30,40
USR-00143,Pune,18.477,73.761,+919773824382,Beverages,reply-YES,0.72,20,12
USR-00144,Chennai,13.096,80.337,+917833813852,Food Grains|Snacks,SMS,0.8,34,11
USR-00145,Bengaluru,13.023,77.734,+916940144124,Fruits & Veggies|Ready-to-Eat|Beverages,WhatsApp,0.99,33,26
USR-00146,Bengaluru,13.137,77.646,+916893935046,Food Grains|Ready-to-Eat,WhatsApp,0.82,27,9
USR-00147,Bengaluru,12.973,77.554,+917583387895,Dairy,SMS,0.67,47,42
USR-00148,Pune,18.564,73.757,+918587595082,Meat & Seafood|Fruits & Veggies|Bakery,reply-YES,0.59,53,14
USR-00149,Mumbai,19.022,72.889,+916708618694,Oil & Masala|Meat & Seafood|Fruits & Veggies,reply-YES,0.73,58,24
USR-00150,Chennai,13.133,80.382,+916483565086,Fruits & Veggies|Meat & Seafood,reply-YES,0.92,10,13
USR-00151,Bengaluru,13.103,77.452,+917541105562,Bakery|Fruits & Veggies|Food Grains,WhatsApp,0.83,36,43
USR-00152,Pune,18.548,73.875,+916940596470,Food Grains|Oil & Masala,SMS,0.91,28,22
USR-00153,Chennai,13.07,80.194,+917065432614,Beverages|Dairy,SMS,0.85,40,6
USR-00154,Bengaluru,13.024,77.658,+917431091568,Dairy|Snacks,SMS,0.62,57,13
USR-00155,Chennai,13.001,80.375,+918264974787,Oil & Masala,reply-YES,0.72,52,26
USR-00156,Bengaluru,12.825,77.484,+918286307078,Dairy,reply-YES,0.87,12,8
USR-00157,Chennai,13.013,80.456,+918480569421,Ready-to-Eat,reply-YES,0.74,47,43
USR-00158,Mumbai,19.107,72.876,+916449100723,Beverages,SMS,0.96,11,20
USR-00159,Pune,18.651,73.771,+917064041210,Dairy|Beverages|Snacks|Bakery,WhatsApp,0.54,33,2
USR-00160,Chennai,13.244,80.237,+916588785066,Oil & Masala,WhatsApp,0.72,51,9
USR-00161,Bengaluru,13.013,77.667,+916483515609,Bakery|Beverages|Snacks,WhatsApp,0.57,40,5
USR-00162,Pune,18.359,73.913,+917153861151,Bakery,WhatsApp,0.95,21,32
USR-00163,Mumbai,19.093,72.879,+918359341061,Snacks|Dairy|Ready-to-Eat|Fruits & Veggies,WhatsApp,0.98,21,22
USR-00164,Bengaluru,12.909,77.709,+917107371220,Fruits & Veggies|Snacks|Meat & Seafood|Dairy,WhatsApp,0.77,30,13
USR-00165,Bengaluru,12.872,77.551,+916886096925,Food Grains|Oil & Masala,reply-YES,0.52,10,39
USR-00166,Pune,18.369,73.826,+917191400998,Fruits & Veggies,reply-YES,0.92,38,9
USR-00167,Pune,18.631,73.796,+917288741594,Snacks|Beverages,WhatsApp,0.82,55,23
USR-00168,Mumbai,19.177,72.735,+917664273869,Oil & Masala|Beverages|Meat & Seafood|Dairy,SMS,0.94,31,6
USR-00169,Chennai,13.198,80.26,+917724306777,Oil & Masala|Meat & Seafood,SMS,0.73,10,33
USR-00170,Mumbai,18.96,72.823,+917408935133,Snacks,SMS,0.73,13,37
USR-00171,Chennai,13.12,80.445,+917661620172,Bakery|Fruits & Veggies|Food Grains,WhatsApp,0.82,13,45
USR-00172,Pune,18.455,73.835,+919961108403,Fruits & Veggies,reply-YES,0.83,40,27
USR-00173,Bengaluru,13.077,77.474,+917608633399,Dairy|Oil & Masala|Food Grains,reply-YES,0.85,41,29
USR-00174,Mumbai,19.152,72.735,+918508005090,Dairy|Oil & Masala,SMS,0.81,33,5
USR-00175,Pune,18.64,73.991,+916556441994,Fruits & Veggies,WhatsApp,0.63,14,27
USR-00176,Mumbai,19.164,72.855,+918029990761,Ready-to-Eat,WhatsApp,0.55,49,36
USR-00177,Chennai,13.006,80.179,+919784903217,Beverages|Bakery|Dairy|Food Grains,WhatsApp,0.72,33,3
USR-00178,Pune,18.605,73.925,+916437531575,Fruits & Veggies|Snacks,reply-YES,0.53,25,37
USR-00179,Bengaluru,13.145,77.548,+916390367486,Snacks|Oil & Masala|Food Grains|Fruits & Veggies,WhatsApp,0.93,14,22
USR-00180,Chennai,13.077,80.44,+918743927081,Dairy|Meat & Seafood,reply-YES,0.77,11,15
USR-00181,Bengaluru,12.98,77.549,+916010320823,Bakery|Oil & Masala|Dairy,reply-YES,0.8,11,38
USR-00182,Bengaluru,13.044,77.61,+918788516619,Meat & Seafood,WhatsApp,0.94,29,19
USR-00183,Pune,18.418,73.987,+916439461622,Meat & Seafood|Ready-to-Eat,SMS,0.57,11,23
USR-00184,Bengaluru,13.006,77.518,+916260284655,Bakery|Snacks,reply-YES,0.69,35,18
USR-00185,Pune,18.546,74.009,+917397453918,Fruits & Veggies,WhatsApp,0.62,45,30
USR-00186,Bengaluru,12.924,77.656,+916444337360,Ready-to-Eat,WhatsApp,0.66,24,31
USR-00187,Pune,18.656,73.871,+918763183429,Dairy,reply-YES,0.58,20,43
USR-00188,Bengaluru,13.099,77.68,+918234615121,Meat & Seafood|Oil & Masala|Snacks|Dairy,reply-YES,0.91,36,4
USR-00189,Mumbai,19.089,72.851,+916665897824,Snacks|Oil & Masala,SMS,0.68,58,38
USR-00190,Chennai,13.155,80.345,+918404450398,Food Grains|Ready-to-Eat|Snacks|Fruits & Veggies,WhatsApp,0.69,48,3
USR-00191,Pune,18.5,73.759,+916449860296,Food Grains|Fruits & Veggies|Snacks,SMS,0.78,14,24
USR-00192,Pune,18.59,73.933,+917070791904,Ready-to-Eat|Oil & Masala|Dairy|Meat & Seafood,reply-YES,0.68,55,42
USR-00193,Chennai,13.052,80.26,+917451298294,Beverages|Bakery|Ready-to-Eat,WhatsApp,0.6,45,35
USR-00194,Mumbai,19.081,72.829,+918742507438,Dairy|Food Grains,reply-YES,0.8,13,43
USR-00195,Pune,18.589,73.98,+916786775500,Food Grains|Snacks|Ready-to-Eat,reply-YES,0.9,50,26
USR-00196,Pune,18.385,73.735,+916367336142,Meat & Seafood|Beverages|Dairy,SMS,1.0,37,16
USR-00197,Chennai,13.065,80.302,+918661482436,Ready-to-Eat|Snacks|Dairy,SMS,0.72,54,30
USR-00198,Pune,18.433,73.962,+918773061460,Meat & Seafood,SMS,0.83,48,26
USR-00199,Bengaluru,13.036,77.7,+916009256835,Fruits & Veggies|Meat & Seafood|Beverages|Bakery,reply-YES,0.81,40,32
USR-00200,Bengaluru,12.974,77.733,+919540234714,Bakery|Food Grains|Meat & Seafood,SMS,0.64,59,10
USR-00201,Pune,18.631,73.998,+917656529367,Oil & Masala|Fruits & Veggies|Food Grains,WhatsApp,0.68,31,45
USR-00202,Bengaluru,12.816,77.58,+916349893975,Snacks|Food Grains|Meat & Seafood,reply-YES,0.83,20,13
USR-00203,Pune,18.57,73.927,+916947054476,Ready-to-Eat|Food Grains|Beverages,reply-YES,0.83,10,6
USR-00204,Pune,18.422,73.903,+919692704388,Fruits & Veggies|Meat & Seafood|Dairy,WhatsApp,0.93,59,35
USR-00205,Chennai,13.09,80.367,+918430299738,Beverages|Ready-to-Eat|Oil & Masala,WhatsApp,0.92,13,11
USR-00206,Pune,18.578,73.86,+918804688698,Ready-to-Eat,WhatsApp,0.86,22,18
USR-00207,Pune,18.367,73.879,+917724771157,Food Grains|Meat & Seafood|Oil & Masala|Beverages,WhatsApp,0.54,17,27
USR-00208,Chennai,13.251,80.406,+916736713873,Beverages,reply-YES,0.51,23,6
USR-00209,Pune,18.424,73.932,+916666162469,Meat & Seafood|Oil & Masala|Bakery|Snacks,SMS,0.54,21,21
USR-00210,Bengaluru,12.994,77.559,+917247686707,Oil & Masala,SMS,0.92,50,19
USR-00211,Pune,18.481,73.924,+918792578523,Fruits & Veggies|Dairy|Meat & Seafood,SMS,0.89,28,6
USR-00212,Chennai,13.165,80.186,+919345424711,Snacks|Fruits & Veggies|Oil & Masala,SMS,0.59,45,9
USR-00213,Pune,18.579,73.986,+918171907067,Oil & Masala|Food Grains|Ready-to-Eat|Dairy,WhatsApp,0.6,29,22
USR-00214,Chennai,13.159,80.283,+917364255035,Food Grains|Fruits & Veggies,SMS,0.91,12,8
USR-00215,Chennai,13.207,80.306,+918467591499,Meat & Seafood|Ready-to-Eat|Dairy,reply-YES,0.62,40,2
USR-00216,Bengaluru,13.002,77.493,+919825832014,Snacks|Beverages,SMS,0.69,60,27
USR-00217,Bengaluru,12.874,77.657,+917686364449,Dairy,SMS,0.83,58,10
USR-00218,Bengaluru,12.924,77.483,+919392060429,Fruits & Veggies|Ready-to-Eat|Oil & Masala,reply-YES,0.54,21,19
USR-00219,Bengaluru,12.925,77.689,+918350697820,Ready-to-Eat|Meat & Seafood,SMS,0.57,16,10
USR-00220,Mumbai,19.02,72.91,+917829983990,Snacks,reply-YES,0.94,59,45
USR-00221,Bengaluru,13.022,77.504,+918476168068,Food Grains,reply-YES,0.52,11,2
USR-00222,Bengaluru,12.998,77.519,+918680131433,Dairy|Snacks|Food Grains|Fruits & Veggies,SMS,0.6,57,8
USR-00223,Mumbai,19.147,72.794,+918495992917,Oil & Masala,reply-YES,0.92,52,5
USR-00224,Pune,18.495,73.807,+916364176592,Snacks,WhatsApp,0.99,44,42
USR-00225,Chennai,13.25,80.365,+919090168011,Food Grains|Oil & Masala|Dairy,WhatsApp,0.81,23,40
USR-00226,Bengaluru,12.848,77.722,+918349732009,Dairy|Bakery|Fruits & Veggies|Meat & Seafood,reply-YES,0.67,60,3
USR-00227,Bengaluru,13.02,77.603,+917256248888,Beverages,WhatsApp,1.0,12,18
USR-00228,Bengaluru,12.967,77.595,+918855516932,Dairy|Snacks|Oil & Masala,WhatsApp,0.82,58,45
USR-00229,Bengaluru,13.011,77.501,+916193539103,Oil & Masala,WhatsApp,0.91,41,30
USR-00230,Pune,18.49,73.892,+916952185868,Beverages,SMS,0.85,48,18
USR-00231,Chennai,13.113,80.435,+916088925857,Ready-to-Eat|Dairy,SMS,0.6,23,30
USR-00232,Bengaluru,12.955,77.743,+917120588694,Food Grains|Dairy|Ready-to-Eat,WhatsApp,0.63,45,6
USR-00233,Chennai,13.159,80.269,+918095140501,Food Grains,reply-YES,0.86,34,6
USR-00234,Bengaluru,12.913,77.556,+916004854123,Ready-to-Eat|Bakery|Dairy,reply-YES,0.94,28,45
USR-00235,Bengaluru,12.883,77.711,+917553962556,Beverages,SMS,0.63,52,38
USR-00236,Pune,18.509,73.925,+919010932152,Bakery|Meat & Seafood|Oil & Masala,SMS,0.72,16,21
USR-00237,Pune,18.377,74.007,+917240965261,Bakery|Oil & Masala,WhatsApp,0.91,55,38
USR-00238,Bengaluru,13.08,77.588,+916001123301,Meat & Seafood|Oil & Masala|Fruits & Veggies|Ready-to-Eat,WhatsApp,0.81,51,31
USR-00239,Chennai,13.237,80.325,+917383684143,Beverages|Oil & Masala|Bakery,reply-YES,0.59,11,33
USR-00240,Bengaluru,13.072,77.626,+916538905950,Fruits & Veggies|Bakery|Food Grains,WhatsApp,0.77,19,23
USR-00241,Bengaluru,12.96,77.69,+919210872741,Snacks,WhatsApp,0.79,57,31
USR-00242,Pune,18.448,73.818,+916555184955,Oil & Masala|Beverages,WhatsApp,0.62,18,10
USR-00243,Mumbai,19.173,72.895,+919328424872,Fruits & Veggies,SMS,0.51,49,6
USR-00244,Pune,18.528,73.823,+919265134204,Meat & Seafood|Bakery|Ready-to-Eat,WhatsApp,0.55,58,26
USR-00245,Chennai,13.033,80.368,+918303024130,Bakery,SMS,0.56,28,29
USR-00246,Bengaluru,13.111,77.487,+918214377805,Fruits & Veggies|Ready-to-Eat|Food Grains,SMS,0.98,52,10
